Desired Frequency (GHz),Measured Frequency (GHz),Vlockin (microvolts)
70,69.98794336020364,3.84453
71,70.90219702169998,2.6524199999999998
72,71.90109748629038,1.0728900000000001
73,72.90386078949086,1.63914
74,73.90673489830806,3.39748
75,74.90236541553168,0.804666
76,75.90629742358578,1.0728900000000001
77,76.90291923654149,0.566248
78,77.90570359802223,1.28151
79,78.90139989124145,0.923876
80,79.90128731945879,0.0298025
81,80.90274180297274,0.23842
82,81.90186391430325,0.5364450000000001
83,82.90023046772694,0.11921
84,83.90178280638065,0.9834839999999999
85,84.90117449700483,1.31131
86,85.90341977923526,0.0894074
87,86.90476639114786,0.864271
88,87.90235183903133,2.1755799999999996
89,88.90007773827529,0.35763
90,89.90007619545213,0.298025
91,90.9003655918641,0.178815
92,91.90184301021509,0.715259
93,92.90477602300234,1.31131
94,93.90221353425295,0.417234
95,94.90143980871653,0.178815
96,95.90120060800109,0.268223
97,96.90233041025931,1.0728900000000001
98,97.90433929450228,2.4438
99,98.90051877713995,0.5364450000000001
100,99.90101721454994,0.35763
101,100.90558743663132,0.476841
102,101.90093476875336,0.32782700000000004
103,102.90715951274615,0.5364450000000001
104,103.9000306064845,0.268223
105,104.90170460817171,0.208617
106,105.90354426967679,0.5364450000000001
107,106.90046807876206,0.35763
108,107.90013671570341,0.5364450000000001
109,108.90027237002505,0.268223
110,109.90287433500635,0.59605
111,110.90020672068931,0.35763
112,111.9011192265607,0.476841
113,112.9050536294817,0.268223
114,113.90083409458748,0.35763
115,114.90055824405863,0.32782700000000004
116,115.90025396394776,0.298025
117,116.90047345703351,0.506643
118,117.90291112620616,0.685457
119,118.90146932844073,0.44703699999999996
120,119.90232631305116,0.32782700000000004
121,120.90267758560367,14.1562
122,121.90107223411906,38.1472
123,122.90079237002647,146.74800000000002
124,123.90265235770494,191.332
125,124.90478997444734,371.339
126,125.9031305234239,197.203
127,126.90366576431552,546.072
128,127.90055531749385,512.991
129,128.90527805592865,546.072
130,129.90617417299654,420.15500000000003
131,130.90284665796207,546.072
132,131.90103360335343,513.379
133,132.90444991900586,316.77099999999996
134,133.9062942461751,343.384
135,134.9019011236087,53.5848
136,135.90415617453982,200.183
137,136.9023999791243,123.11399999999999
138,137.90023841132643,117.451
139,138.90040801954456,139.237
140,139.9001641641371,420.781
141,140.9038796777022,167.72799999999998
142,141.9040743977239,214.25
143,142.90403033187613,113.04100000000001
144,143.9012386307877,429.483
145,144.90197855239967,154.16799999999998
146,145.90101370264892,122.28
147,146.9007699608046,171.871
148,147.90247648814693,176.669
149,148.90398935982375,28.0441
150,149.90106776548782,135.244
151,150.9000050049217,84.2814
152,151.90139943338,66.4596
153,152.90128138349974,69.02260000000001
154,153.90702605695697,55.3133
155,154.9006656075362,56.833299999999994
156,155.90222965247813,53.3464
157,156.90052095116698,48.3694
158,157.9013296351186,75.1023
159,158.9058282712067,31.1139
160,159.90185311614187,60.8268
161,160.90288299886743,53.0484
162,161.90439046776737,117.898
163,162.90839045136818,29.8322
164,163.9011410101666,69.29090000000001
165,164.90522998818778,22.4711
166,165.90509323435253,85.8014
167,166.90323385767988,71.6751
168,167.9054712934594,35.018
169,168.901609636785,21.6962
170,169.90094313040026,200.064
171,170.90195657516597,31.9483
172,171.90022987488192,50.1873
173,172.90047441847855,54.8365
174,173.9009251157986,37.431900000000006
175,174.90021909592906,79.7515
176,175.9014105941751,40.9188
177,176.90236355061643,7.68906
178,177.90106836822815,63.807199999999995
179,178.9001897040289,13.7687
180,179.9019698028278,32.455
181,180.90277694072574,29.8918
182,181.90078225242905,9.80502
183,182.90012117117294,70.1551
184,183.90340312066837,41.5149
185,184.9006934215431,9.62621
186,185.90030888590263,47.7734
187,186.90266453803633,9.32819
188,187.9056967998913,24.736
189,188.90070825189468,19.043799999999997
190,189.90066125124577,17.1663
191,190.90419410003233,38.7433
192,191.9001504209009,54.5385
193,192.9023916227743,4.20216
194,193.90303547665826,28.938200000000002
195,194.90004592607147,26.3454
196,195.90568066894775,21.636599999999998
197,196.9028277550242,16.153
198,197.90242650246364,18.119899999999998
199,198.90277201717254,16.3914
200,199.9013833386416,26.0473
201,200.90583348766086,10.4905
202,201.90113264258252,24.6466
203,202.9021991394402,25.9877
204,203.901769036951,9.149370000000001
205,204.90403802116634,14.0071
206,205.90215321542928,17.047
207,206.90233927359805,14.394599999999999
208,207.90054322962533,20.1167
209,208.90421550476458,7.48041
210,209.90141367301112,9.86463
211,210.90020935211214,17.3749
212,211.90214914391981,2.68222
213,212.90082526230253,9.23878
214,213.90160999714863,12.844899999999999
215,214.9043223351764,11.5634
216,215.9016059473215,5.54326
217,216.90320294265985,5.42405
218,217.90184143703664,4.7088
219,218.90037960076006,4.9770199999999996
220,219.9067799273471,5.27504
221,220.90457670087926,2.98025
222,221.90273333204095,10.162700000000001
223,222.90016335842665,13.709100000000001
