Desired Frequency (GHz),Measured Frequency (GHz),Vlockin (microvolts)
70,69.98928153206361,6.675750000000001
71,70.90868624064024,11.324900000000001
72,71.90272633396671,0.59605
73,72.90010007927776,4.05314
74,73.90006977430312,4.05314
75,74.90262487897417,17.5239
76,75.90061351450277,4.2915600000000005
77,76.90536875513499,3.57629
78,77.90344287201879,5.48366
79,78.90514357783832,5.72208
80,79.9070013850287,0.834469
81,80.90633764307131,1.90736
82,81.90498849231517,2.86104
83,82.90066159394337,7.74866
84,83.90449666057248,3.09946
85,84.9014340423455,2.62262
86,85.9029336416861,3.09946
87,86.90194077632623,2.98025
88,87.9028681415657,1.78815
89,88.9036654237716,1.1921
90,89.90064946957864,1.1921
91,90.90537153909099,1.31131
92,91.90184668931761,1.90736
93,92.90245315915672,2.26499
94,93.90304165362613,1.43052
95,94.90153264193214,0.953682
96,95.90053475811146,0.953682
97,96.90046275409986,0.715259
98,97.90141706823488,1.66894
99,98.90159876667894,0.715259
100,99.90069077609223,0.953682
101,100.90052061667666,0.953682
102,101.90119933107053,0.35763
103,102.90196655332693,0.953682
104,103.90016868739622,0.476841
105,104.90064607126988,0.23842
106,105.90121337864548,0.23842
107,106.90162635571323,0.953682
108,107.90211036524852,0.834469
109,108.90554524716572,0.953682
110,109.90024108704529,0.35763
111,110.9026981552015,0.715259
112,111.90095834858948,0.23842
113,112.90097448654706,0.23842
114,113.9024014005845,0.23842
115,114.9073579304968,0.23842
116,115.90198716489249,0.59605
117,116.90096378364251,0.834469
118,117.90274891039007,0.476841
119,118.90126764570596,0.35763
120,119.90383073949488,3.6955
121,120.90145310689695,118.018
122,121.90028356414405,26.5838
123,122.90070239873603,140.191
124,123.90062775238766,189.18599999999998
125,124.90113453261438,195.385
126,125.90357594497618,262.143
127,126.90004885289818,1746.3
128,127.91042004703195,1014.1200000000001
129,128.90187553697615,1338.49
130,129.90224018815206,610.951
131,130.90164726419607,724.319
132,131.90297885550535,945.453
133,132.90127951922477,310.78
134,133.90365464333445,710.849
135,134.9071224666841,297.429
136,135.90542179252952,409.605
137,136.90140059578698,204.44500000000002
138,137.9032462608011,209.452
139,138.9029021540482,178.219
140,139.9009241690219,739.9359999999999
141,140.90097856798093,536.684
142,141.90416436895612,844.602
143,142.90743017508066,581.3870000000001
144,143.90242096682778,594.024
145,144.90154976747,421.407
146,145.9014040240436,179.411
147,146.9006786516984,354.292
148,147.90294574340805,720.505
149,148.90282675725757,770.811
150,149.90733796267887,702.146
151,150.90399962791707,229.59799999999998
152,151.90028074628208,191.451
153,152.90142203553114,369.431
154,153.9050005330646,270.845
155,154.9002097308694,199.2
156,155.90090650640195,82.1357
157,156.90340638623456,425.817
158,157.90042042845744,360.372
159,158.90398403143627,96.08319999999999
160,159.90456915125833,107.289
161,160.90484470673255,399.115
162,161.90163346746704,271.441
163,162.90180371308816,285.627
164,163.90417527678073,109.31500000000001
165,164.90082923372393,918.154
166,165.90020434721373,511.769
167,166.90006622768124,190.259
168,167.90313237524242,343.921
169,168.90238894175855,279.07099999999997
170,169.9034934308729,433.804
171,170.90138780738926,458.481
172,171.9012786950625,144.721
173,172.90097523579607,260.95099999999996
174,173.90667017101077,323.536
175,174.90093451793655,144.721
176,175.90105766133638,163.556
177,176.9002343819302,209.809
178,177.90010435762815,155.569
179,178.9049332549621,165.94
180,179.90379331292934,180.007
181,180.90256462758407,178.815
182,181.90055715705967,185.96699999999998
183,182.90100060057011,161.053
184,183.90138438376016,330.569
185,184.9058775913727,335.695
186,185.9042895056482,171.78199999999998
187,186.90434502525022,246.52700000000002
188,187.900917466206,269.772
189,188.90716644894565,162.24499999999998
190,189.90407117462019,203.372
191,190.90528979466762,278.11699999999996
192,191.90375020209467,214.578
193,192.90549058667966,222.565
194,193.90269351625466,212.432
195,194.90126010228414,210.644
196,195.9050916749693,206.948
197,196.902994117263,99.6594
198,197.90108646446606,107.885
199,198.90166879771277,235.558
200,199.90139671607176,105.978
201,200.90069655686966,231.982
202,201.90048425557325,138.88
203,202.90049059156445,123.621
204,203.9017171994492,282.17
205,204.90352035174146,117.66
206,205.9008539977367,171.90099999999998
207,206.90219043637626,229.71699999999998
208,207.90146996136173,154.854
209,208.9004456049879,186.20600000000002
210,209.90098392326036,121.952
211,210.90179917533533,75.22149999999999
212,211.9011600506492,171.78199999999998
213,212.9016504821484,76.4136
214,213.90045661237673,91.7916
215,214.90493435232202,54.359700000000004
216,215.90232331168954,90.59949999999999
217,216.90075236579287,126.482
218,217.90097441276885,113.726
219,218.9057025613438,55.0749
220,219.90252423434868,128.86599999999999
221,220.90241030973266,143.05200000000002
222,221.90020634816028,76.652
223,222.90241203975165,54.478899999999996
224,223.9004489046638,154.258
225,224.9002023237408,54.1213
226,225.90002681035548,80.8244
227,226.90578251236002,54.9557
228,227.90372956116335,58.8896
229,228.90010016411543,82.01650000000001
230,229.90057805430843,41.9619
231,230.90703147256863,44.1077
232,231.90101922187023,116.11
233,232.90599150847993,73.5526
234,233.90075180405984,129.343
235,234.90281032049097,36.9551
236,235.9006215047848,22.0538
237,236.9015588258917,67.83059999999999
238,237.9008628471056,31.1139
