Desired Frequency (GHz),Measured Frequency (GHz),Vlockin (microvolts)
70,70.065618216031,9.05996
71,70.9052568145562,12.8747
72,71.90363373924629,13.709100000000001
73,72.90126649066224,13.470699999999999
74,73.90227378779673,6.31812
75,74.90153444491443,14.782
76,75.90006599423941,9.29838
77,76.90190756044467,5.96049
78,77.90258763622842,4.7684
79,78.90176141253323,12.517000000000001
80,79.90236249091686,1.1921
81,80.90338832506677,3.09946
82,81.90102474001469,5.12603
83,82.90088267574902,8.46392
84,83.90008706558729,4.64919
85,84.90619114710717,4.8876100000000005
86,85.9023810030485,7.033379999999999
87,86.9063193963375,5.48366
88,87.90445626937435,2.98025
89,88.90035056479974,2.62262
90,89.9032429161307,1.43052
91,90.90300519467564,3.4570800000000004
92,91.90367287170375,4.2915600000000005
93,92.90092097205343,2.5034099999999997
94,93.90001849381952,2.02657
95,94.90038795035798,3.09946
96,95.90456256299512,2.98025
97,96.90281371309538,2.74183
98,97.90877631565672,2.02657
99,98.90232756728074,1.78815
100,99.90000043899636,1.1921
101,100.90321139275329,1.31131
102,101.90083543246146,0.59605
103,102.90433185591246,1.31131
104,103.90085000326508,2.3842
105,104.90292974270415,0.953682
106,105.9046312829887,1.54973
107,106.90353350411169,0.59605
108,107.90075191407232,0.0
109,108.90026649984065,0.953682
110,109.9032114763686,0.715259
111,110.90402096684556,1.54973
112,111.9023102587089,0.953682
113,112.90036910373601,0.715259
114,113.90555474261055,0.59605
115,114.90199510843377,0.35763
116,115.90256746276282,0.59605
117,116.90332711784868,0.834469
118,117.90584572774242,0.23842
119,118.90350956885959,0.35763
120,119.90118177162367,0.715259
121,120.90250734257279,74.7447
122,121.90628956363071,206.233
123,122.90439088581479,99.3018
124,123.90103502132115,292.422
125,124.90698337374488,643.972
126,125.90601645596325,261.785
127,126.9049360648205,2054.71
128,127.90100818395149,1672.04
129,128.9022257225297,2184.29
130,129.90225155997905,379.56399999999996
131,130.90122249283013,1500.3799999999999
132,131.90061117324512,351.073
133,132.9012320250913,1010.31
134,133.90058659002534,775.937
135,134.9021563208953,191.689
136,135.9022587510117,952.9630000000001
137,136.90501583486912,255.825
138,137.9017488581012,164.27100000000002
139,138.90074801890296,263.097
140,139.90083219922963,1233.6999999999998
141,140.90544670293457,762.586
142,141.901096315647,895.265
143,142.9057394512638,853.0649999999999
144,143.90668607264524,790.481
145,144.90548074210528,965.957
146,145.90203415730502,388.267
147,146.90296539329574,306.48900000000003
148,147.90176976221846,816.587
149,148.90213909590966,738.148
150,149.90158420964144,784.2819999999999
151,150.90345366788097,424.864
152,151.9021640367573,135.423
153,152.9058859651559,541.929
