Desired Frequency (GHz),Measured Frequency (GHz),Vlockin (microvolts)
70,69.94594021840021,4.05314
71,70.90147576577147,9.5368
72,71.90765200942405,0.953682
73,72.90373927608016,2.1457800000000002
74,73.9009891335736,3.5166899999999996
75,74.90213001999655,3.3378699999999997
76,75.9046478390519,2.0861799999999997
77,76.90484853365342,1.1325
78,77.90129512379644,0.59605
79,78.90065546432743,0.715259
80,79.90394401023514,1.01329
81,80.900489845837,0.298025
82,81.90331315391813,0.715259
83,82.90044820486219,0.59605
84,83.90375916383346,0.894073
85,84.90416662662756,0.178815
86,85.9017466007208,0.476841
87,86.9012757880264,0.476841
88,87.90254325731075,1.1325
89,88.90578608302167,0.59605
90,89.90490922392928,0.23842
91,90.90000637577032,0.774864
92,91.90824635484023,0.655655
93,92.90022795923869,0.0596051
94,93.90227148163831,0.11921
95,94.90350520133507,0.298025
96,95.90673688997049,0.178815
97,96.90087615363882,0.11921
98,97.90381184217404,0.11921
99,98.90023247455247,0.5364450000000001
100,99.90097774760216,0.655655
101,100.90445861511398,0.23842
102,101.90311180558638,0.23842
103,102.90126247412991,0.417234
104,103.90257159536122,0.298025
105,104.90267325908644,1.43052
106,105.90509451791877,0.35763
107,106.9002746133192,0.715259
108,107.90023265176569,0.298025
109,108.90149706424563,0.298025
110,109.9001136556326,0.298025
111,110.90054821010563,0.298025
112,111.90149717274471,0.417234
113,112.91016025084537,0.0596051
114,113.90365363992169,0.417234
115,114.90167903841939,0.5364450000000001
116,115.90274038151256,0.35763
117,116.90532956362586,0.476841
118,117.90234420695924,0.417234
119,118.90103686440852,0.23842
120,119.90197177947266,0.894073
121,120.90149223935441,22.2326
122,121.90067321664537,22.2923
123,122.90299649856752,117.124
124,123.90052671081503,228.406
125,124.90473270358052,212.73000000000002
126,125.9055369066773,236.274
127,126.90209143457469,614.051
128,127.90066970474436,504.61699999999996
129,128.90281204076018,744.049
130,129.90355631045531,478.15
131,130.90042713354342,598.9110000000001
132,131.90205606480595,789.944
133,132.90435593415168,176.371
134,133.90086051737308,488.045
135,134.9006920303218,23.2459
136,135.90414212699397,200.511
137,136.90535933108185,162.42399999999998
138,137.90623404236976,121.654
139,138.90127269175719,196.696
140,139.90578477241797,323.476
141,140.9007630684937,268.998
142,141.9027408832044,328.364
143,142.901443909097,54.2405
144,143.90107340476243,542.1080000000001
145,144.9005497151811,161.41
146,145.90170537758968,179.351
147,146.90288746278384,250.63899999999998
148,147.90186709174304,105.858
149,148.90196684611146,84.40060000000001
150,149.90027058499982,70.1551
151,150.9063895761792,57.2207
152,151.90327979749418,55.5518
153,152.9012454492913,68.2478
154,153.90029251523083,53.108
155,154.9024195453676,54.0616
156,155.90680347007583,39.5777
157,156.90781731906463,49.054899999999996
158,157.9005857006414,35.6438
159,158.902937559149,47.9224
160,159.90303283772664,40.1738
161,160.90263979681185,52.988800000000005
162,161.9028271753341,86.6656
163,162.90049470032682,40.1738
164,163.900829751743,60.6778
165,164.90028661198448,46.3726
166,165.90122551246895,74.3871
167,166.90128774076584,94.89110000000001
168,167.90396318791318,17.345100000000002
169,168.90211936243577,19.6696
170,169.90110869088676,220.896
171,170.90312077564886,17.6431
172,171.9005157261854,67.4729
173,172.90680653849267,28.7296
174,173.90535652954713,16.3914
175,174.90194159394014,137.15099999999998
176,175.90293904748978,27.001
177,176.90275748705608,15.08
178,177.90327773342142,62.22769999999999
179,178.9016399004031,14.7224
180,179.9045587524015,23.1267
181,180.9034216783475,46.8495
