Desired Frequency (GHz),Measured Frequency (GHz),Vlockin (microvolts)
70,69.99196841253433,0.26077199999999995
71,70.90443449938903,0.774864
72,71.91017354588257,1.43424
73,72.90008666165522,1.40072
74,73.90418043307727,1.21073
75,74.90158014872577,1.06172
76,75.90384411811829,1.4118899999999999
77,76.90018430072814,0.890348
78,77.90189162295428,0.8419190000000001
79,78.90456955481204,0.644479
80,79.90706251907977,0.79349
81,80.90378366343793,0.555072
82,81.90488380458555,0.46938799999999997
83,82.9038741364202,0.458213
84,83.90379261042108,0.651929
85,84.90570048603695,0.737611
86,85.90105332856183,0.7078089999999999
87,86.90046796778915,0.7264349999999999
88,87.90162480078288,0.767413
89,88.9035576939932,0.484291
90,89.90310511627467,0.331553
91,90.90103619548609,0.28684899999999997
92,91.9004599947657,0.283124
93,92.90132366868784,0.312926
94,93.90096024374361,0.275673
95,94.90024035642273,0.309201
96,95.90065014973516,0.2943
97,96.90269029527553,0.264497
98,97.90014342305949,0.20489200000000002
99,98.90438419650309,0.189991
100,99.90245842697914,0.149013
101,100.9026036686846,0.126661
102,101.9020635902998,0.111759
103,102.9036873949808,0.13038599999999997
104,103.90578306038515,0.167639
105,104.9023544889933,0.189991
106,105.90292617716477,0.160188
107,106.90048132868833,0.227244
108,107.90007239495753,0.149013
109,108.90074106462998,0.13038599999999997
110,109.90291748105665,0.137837
111,110.90014584793244,0.171364
112,111.90201358767808,0.167639
113,112.9046990959032,0.137837
114,113.90032269663061,0.134111
115,114.90260249804123,0.134111
116,115.90064662662917,0.0894074
117,116.90275952967932,0.145287
118,117.90044778678566,0.197441
119,118.90157836425351,0.152738
120,119.9017553802114,0.126661
121,120.90095073950943,0.737611
122,121.90083242228138,7.8641499999999995
123,122.90149140320136,7.644350000000001
124,123.90592400918831,15.188099999999999
125,124.90494191419566,25.7456
126,125.90048231117544,40.363800000000005
127,126.90279347792966,83.9201
128,127.90189384898986,109.219
129,128.9040498980903,109.219
130,129.90225457018823,109.219
131,130.90645554222283,109.219
132,131.9037464541325,109.219
133,132.90247389601427,109.219
134,133.90313755947864,107.289
135,134.90649233342265,109.219
136,135.90336181866587,100.289
137,136.9017156623886,88.7145
138,137.90164985629963,60.6293
139,138.90433527049026,39.0711
140,139.90516481242958,41.6713
141,140.9002488044789,84.0393
142,141.90386502220645,100.233
143,142.90112951138872,108.161
144,143.90167142931023,83.5252
145,144.90071594461915,103.36999999999999
146,145.90062873269198,92.15299999999999
147,146.90272089888458,67.607
148,147.9034634962154,57.7758
149,148.90076544551994,79.1703
150,149.90139789061504,101.604
151,150.90051641795435,86.01
152,151.90337803796865,60.0258
153,152.90370856865775,58.3234
154,153.90196116335574,61.9744
155,154.90136096157948,50.0942
156,155.90181591847795,39.235
157,156.90033666056115,36.4112
158,157.9004759384261,41.988
159,158.90189838194055,38.717200000000005
160,159.9054027319944,26.4869
161,160.90059087969712,26.1293
162,161.9010745753767,31.464000000000002
163,162.90022905732621,37.7076
164,163.90132665837882,44.0294
165,164.90058676793706,42.4946
166,165.9015743494674,65.7444
167,166.90517730664578,69.7118
168,167.90011817088816,59.5229
169,168.90019049911643,57.619299999999996
170,169.90071301802527,51.3459
171,170.90310979101923,62.1644
172,171.9027258119895,61.575799999999994
173,172.90230127290124,58.7928
174,173.90205558444723,56.1404
175,174.90465344136464,57.7236
176,175.90410056468681,42.4797
177,176.90141728139133,35.457499999999996
178,177.90172595222248,30.357499999999998
179,178.90435551747214,28.4986
180,179.90455415390898,30.3612
181,180.90312173994607,31.020699999999998
182,181.90400282206247,30.6966
183,182.90067419118714,32.291
184,183.90080748236505,30.1154
185,184.90193417758564,43.046
186,185.90169804778998,44.3312
187,186.90137274059816,37.0296
188,187.90139486599946,46.9612
189,188.90158756205346,45.7915
190,189.90075038585928,38.8848
191,190.90055962116458,37.260600000000004
192,191.90514270833228,35.8822
193,192.90074452746194,42.241299999999995
194,193.90043649397558,41.3659
195,194.90084590003244,31.4752
196,195.90118478183285,33.5949
197,196.90025559649803,28.3794
198,197.90092110843398,21.7484
199,198.90139414250734,20.9437
200,199.90068144194083,22.996299999999998
201,200.90286997018848,24.9149
202,201.9051299840794,29.7801
203,202.90149348031264,27.0159
204,203.9039127691358,29.2287
205,204.90069205409964,35.263799999999996
206,205.90050641132984,29.474600000000002
207,206.90186266007368,29.4709
208,207.90057509337203,30.957400000000003
209,208.9019589649397,29.224999999999998
210,209.90312932763482,29.3293
211,210.90153998776805,26.6359
212,211.90057269812678,20.809600000000003
213,212.90033280590433,19.9937
214,213.90562489652075,16.112000000000002
215,214.90052481894963,13.9922
216,215.90222716148128,13.8879
217,216.90687588162837,12.9603
218,217.9006316162704,15.6985
219,218.90048912839848,17.020999999999997
220,219.90115806492395,17.1439
221,220.90214301255764,20.8804
222,221.90003759908723,20.392400000000002
223,222.90071487770183,16.7937
224,223.9059650018462,16.4771
225,224.90122318841168,17.1439
226,225.90246735414257,17.546200000000002
227,226.9003157444531,16.503200000000003
228,227.90181993387523,15.061399999999999
229,228.90096802450716,15.452599999999999
230,229.9009789589909,13.8805
231,230.90352198897745,11.112599999999999
232,231.90280928844004,11.548499999999999
233,232.90157528640702,13.1876
234,233.9003082588315,14.1822
235,234.90334583548247,14.0146
236,235.90035228413763,10.9003
237,236.900355693826,8.76567
238,237.90132060585893,8.32981
239,238.90228468176792,8.1957
240,239.90362583383103,9.01154
241,240.9012154545926,12.1259
242,241.90077547138208,14.3499
243,242.90361330780433,16.0338
244,243.90051239696913,13.7054
245,244.90101547256927,11.3473
246,245.90303385673906,13.1727
247,246.90011722556665,16.872
248,247.90119877201505,23.812199999999997
249,248.90079458829132,27.8355
250,249.90021315371268,24.9223
251,250.904374755366,18.194399999999998
252,251.90253357388428,18.4589
253,252.90312521567103,12.6176
254,253.90019084059168,11.4963
255,254.90045218370506,11.406899999999998
256,255.9000638857251,10.989700000000001
257,256.90455500307144,13.604800000000001
258,257.9041257366771,10.6805
259,258.9003985172603,6.34792
260,259.9024089727318,4.09785
261,260.9006593092927,3.52041
262,261.904518945812,2.94672
263,262.9050366705342,3.4012000000000002
264,263.9002239466063,3.9525599999999996
265,264.9035258820513,3.84453
266,265.9000076848606,2.93554
267,266.903061983292,1.4938500000000001
268,267.9045473996666,1.13995
269,268.90067050256766,1.0281900000000002
270,269.9000658450241,0.696633
271,270.9000242559705,0.5103679999999999
272,271.9053552839323,0.506643
273,272.90215814491967,0.473114
274,273.90052449237555,0.5364450000000001
275,274.9007280631922,0.6072259999999999
276,275.90218628261937,0.5103679999999999
277,276.9013141282194,0.517819
278,277.9010927202471,0.6407539999999999
279,278.9005114415195,0.830743
280,279.90493444664753,0.774864
281,280.9041650346189,0.85682
282,281.90112536546076,1.36719
283,282.9005037599709,1.29268
284,283.9010452743969,1.22935
285,284.90495792089496,0.886623
286,285.90332167074666,0.864271
287,286.9022118127323,1.67639
288,287.90265785183874,1.68384
289,288.90028144046664,1.46405
290,289.9035134325677,0.8270179999999999
291,290.90008468698943,0.443311
292,291.90323198307306,0.741336
293,292.90388388489373,2.26499
294,293.90162220192724,3.05475
295,294.90035598920076,3.81845
296,295.9009270161041,3.53904
297,296.901834336255,2.1197
298,297.90092561754864,1.1697499999999998
299,298.9024261291197,0.808392
300,299.90381628557225,0.867996
301,300.9051822903566,2.1457800000000002
302,301.9018924765696,2.44753
303,302.9012757278397,2.4736100000000003
304,303.9003609418578,2.74183
305,304.901049141743,2.34322
306,305.90505242173094,1.70992
307,306.90317447533016,0.953682
308,307.90114977565827,0.53272
309,308.9008228071907,0.40605800000000003
310,309.9033605620498,0.28684899999999997
311,310.9014645050338,0.24214599999999997
312,311.90273149800487,0.316651
313,312.90094080599374,0.383707
314,313.9035299272218,0.316651
315,314.90001621632837,0.212342
316,315.9028525129834,0.171364
317,316.9007151144906,0.137837
318,317.9006353470031,0.0894074
319,318.90410267724656,0.0670557
320,319.90247358349734,0.0819568
321,320.90374632255407,0.0931327
322,321.90279333584476,0.0894074
323,322.90295075668837,0.0298025
324,323.9000080964179,0.0670557
325,324.9000304711517,0.0298025
326,325.9021577204985,0.011175899999999999
327,326.90230513585266,0.048429
